system:index,MeanBI,Month,.geo
0,0.027701573237613176,Month 1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.03094364075253125,Month 2,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0.04444345298219888,Month 3,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.16095001355352673,Month 4,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.06472089143342152,Month 5,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.08711867255764015,Month 6,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.18654866283932714,Month 7,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.04317091076066783,Month 8,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.09751071681266371,Month 9,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.04690865870337269,Month 10,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0.13661537208321492,Month 11,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.046664613679832836,Month 12,"{""type"":""MultiPoint"",""coordinates"":[]}"
