system:index,MeanBSI,Month,.geo
0,0.9966377202355026,Month 1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.9969658935863588,Month 2,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0.9972539216309118,Month 3,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.994830356069525,Month 4,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.995450714984786,Month 5,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.9957567290365015,Month 6,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.9946019045323108,Month 7,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.9967169650277605,Month 8,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.9961170854092084,Month 9,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.996866519441199,Month 10,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0.9950725580980897,Month 11,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.997025045593546,Month 12,"{""type"":""MultiPoint"",""coordinates"":[]}"
