system:index,MeanMBI,Month,.geo
0,0.11848654933979236,Month 1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.14584245788675337,Month 2,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0.1682280265254408,Month 3,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.13832047621390758,Month 4,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.10747685605195499,Month 5,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.11987441748578212,Month 6,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.13237771349524777,Month 7,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.13055638848494847,Month 8,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.14737307347259979,Month 9,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.15088515727370164,Month 10,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0.13300673138107263,Month 11,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.15389054633163066,Month 12,"{""type"":""MultiPoint"",""coordinates"":[]}"
