system:index,MeanMNDSI,Month,.geo
0,0.029728738809394337,Month 1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.12273566668105616,Month 2,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0.13348651470445,Month 3,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,-0.09566184422106254,Month 4,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,-0.03808844215494169,Month 5,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,-0.016010662809112005,Month 6,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,-0.07524056809345715,Month 7,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.04307633625519613,Month 8,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.03501012194079635,Month 9,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.09964769528934933,Month 10,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,-0.029720929861803257,Month 11,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.11090844541788178,Month 12,"{""type"":""MultiPoint"",""coordinates"":[]}"
