system:index,MeanNBLI,Month,.geo
0,-0.9990182088310863,Month 1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,-0.9991505880634318,Month 2,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,-0.9992474695108786,Month 3,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,-0.997918913756901,Month 4,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,-0.9983881664821227,Month 5,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,-0.9985010648541532,Month 6,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,-0.9978487280135676,Month 7,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,-0.9990257525010415,Month 8,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,-0.9986459636234671,Month 9,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,-0.9990728067839961,Month 10,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,-0.9980775480579381,Month 11,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,-0.9991410968135176,Month 12,"{""type"":""MultiPoint"",""coordinates"":[]}"
