system:index,MeanNBR2,Month,.geo
0,0.2568124749412222,Month 1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.24232334124879035,Month 2,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0.2317763225782447,Month 3,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.19565337772837468,Month 4,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.2550718137811742,Month 5,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.2357366510768513,Month 6,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.18606411203758036,Month 7,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.2573812990117522,Month 8,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.23068186958015233,Month 9,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.23759225176288598,Month 10,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0.20538148938549156,Month 11,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.2407392984951353,Month 12,"{""type"":""MultiPoint"",""coordinates"":[]}"
