system:index,MeanNDBal,Month,.geo
0,-0.9985159714349378,Month 1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,-0.9985277508880164,Month 2,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,-0.9985201557388704,Month 3,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,-0.9978955554585699,Month 4,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,-0.998304999869198,Month 5,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,-0.9982010733850599,Month 6,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,-0.9976472934378764,Month 7,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,-0.9984742309962554,Month 8,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,-0.9981846006890787,Month 9,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,-0.9984649868140442,Month 10,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,-0.997997192467675,Month 11,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,-0.9985063672462536,Month 12,"{""type"":""MultiPoint"",""coordinates"":[]}"
