system:index,Meanb2B1,Month,.geo
0,-0.013568777895120369,Month 1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,-0.013040594367045548,Month 2,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,-0.013095806963509924,Month 3,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,-0.011097703927039468,Month 4,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,-0.013469767119210045,Month 5,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,-0.01233219410800639,Month 6,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,-0.010615407616510981,Month 7,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,-0.013602021961347627,Month 8,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,-0.01174414742121109,Month 9,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,-0.012537647290647788,Month 10,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,-0.010590598968054267,Month 11,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,-0.013193495002834963,Month 12,"{""type"":""MultiPoint"",""coordinates"":[]}"
